数据量,线程数,顺序时间(ms),并行时间(ms),加速比,效率(%)
10000,1,0.306154,0.3076,0.995299,99.5299
10000,2,0.306154,1.18753,0.257808,12.8904
10000,3,0.306154,0.238449,1.28394,42.7981
10000,4,0.306154,0.176739,1.73224,43.3059
10000,5,0.306154,0.176117,1.73836,34.7672
10000,6,0.306154,0.18997,1.61159,26.8598
10000,7,0.306154,0.133019,2.30159,32.8798
10000,8,0.306154,0.167745,1.82512,22.814
10000,9,0.306154,0.180488,1.69626,18.8473
10000,10,0.306154,0.182132,1.68095,16.8095
10000,11,0.306154,0.168669,1.81512,16.5011
10000,12,0.306154,0.165087,1.85451,15.4542
10000,13,0.306154,0.151254,2.0241,15.57
10000,14,0.306154,0.190069,1.61076,11.5054
10000,15,0.306154,0.174231,1.75717,11.7145
10000,16,0.306154,0.16989,1.80208,11.263
50000,1,2.08907,1.79989,1.16067,116.067
50000,2,2.08907,1.76698,1.18228,59.1142
50000,3,2.08907,1.07716,1.93942,64.6474
50000,4,2.08907,0.845309,2.47137,61.7841
50000,5,2.08907,0.8834,2.3648,47.2961
50000,6,2.08907,0.841565,2.48236,41.3727
50000,7,2.08907,0.802117,2.60444,37.2063
50000,8,2.08907,0.721828,2.89413,36.1767
50000,9,2.08907,0.640267,3.2628,36.2534
50000,10,2.08907,0.639061,3.26896,32.6896
50000,11,2.08907,0.59232,3.52692,32.0629
50000,12,2.08907,0.539118,3.87497,32.2914
50000,13,2.08907,0.591476,3.53196,27.1689
50000,14,2.08907,0.536243,3.89575,27.8268
50000,15,2.08907,0.519335,4.02258,26.8172
50000,16,2.08907,0.521184,4.00831,25.0519
100000,1,4.38032,3.90669,1.12124,112.124
100000,2,4.38032,2.46992,1.77347,88.6735
100000,3,4.38032,2.46902,1.77412,59.1372
100000,4,4.38032,1.85987,2.35518,58.8795
100000,5,4.38032,1.76652,2.47963,49.5926
100000,6,4.38032,1.50642,2.90776,48.4627
100000,7,4.38032,1.43617,3.05,43.5715
100000,8,4.38032,1.37024,3.19676,39.9595
100000,9,4.38032,1.28005,3.42199,38.0222
100000,10,4.38032,1.23641,3.54278,35.4278
100000,11,4.38032,1.15422,3.79504,34.5004
100000,12,4.38032,1.0946,4.00174,33.3478
100000,13,4.38032,1.03247,4.24257,32.6351
100000,14,4.38032,1.03276,4.24136,30.2954
100000,15,4.38032,1.01002,4.33688,28.9125
100000,16,4.38032,0.979848,4.47041,27.9401
500000,1,22.3033,23.0122,0.969195,96.9195
500000,2,22.3033,14.1802,1.57284,78.6422
500000,3,22.3033,12.9999,1.71565,57.1885
500000,4,22.3033,12.2548,1.81997,45.4992
500000,5,22.3033,11.3106,1.97189,39.4378
500000,6,22.3033,9.4871,2.35091,39.1818
500000,7,22.3033,7.66815,2.90856,41.5509
500000,8,22.3033,7.63691,2.92046,36.5058
500000,9,22.3033,7.36981,3.02631,33.6256
500000,10,22.3033,7.19622,3.09931,30.9931
500000,11,22.3033,7.14809,3.12018,28.3652
500000,12,22.3033,6.8377,3.26181,27.1818
500000,13,22.3033,6.28608,3.54805,27.2927
500000,14,22.3033,6.13831,3.63346,25.9533
500000,15,22.3033,5.95543,3.74503,24.9669
500000,16,22.3033,5.74813,3.8801,24.2506
1000000,1,46.0711,46.7442,0.985601,98.5601
1000000,2,46.0711,34.1099,1.35067,67.5333
1000000,3,46.0711,27.3271,1.68592,56.1972
1000000,4,46.0711,26.9157,1.71169,42.7921
1000000,5,46.0711,24.6975,1.86541,37.3083
1000000,6,46.0711,17.4535,2.63965,43.9941
1000000,7,46.0711,14.8443,3.10361,44.3373
1000000,8,46.0711,13.4384,3.42832,42.854
1000000,9,46.0711,12.2512,3.76054,41.7838
1000000,10,46.0711,11.4978,4.00696,40.0696
1000000,11,46.0711,11.6131,3.96716,36.0651
1000000,12,46.0711,10.0157,4.59991,38.3326
1000000,13,46.0711,10.0213,4.59733,35.3641
1000000,14,46.0711,9.4361,4.88244,34.8745
1000000,15,46.0711,9.36924,4.91727,32.7818
1000000,16,46.0711,9.1158,5.05399,31.5874
5000000,1,260.207,262.454,0.991442,99.1442
5000000,2,260.207,152.499,1.70629,85.3144
5000000,3,260.207,141.355,1.8408,61.3601
5000000,4,260.207,135.771,1.91652,47.9131
5000000,5,260.207,122.791,2.1191,42.382
5000000,6,260.207,101.025,2.57567,42.9278
5000000,7,260.207,80.6894,3.2248,46.0686
5000000,8,260.207,75.5122,3.4459,43.0737
5000000,9,260.207,68.4727,3.80016,42.224
5000000,10,260.207,62.469,4.16539,41.6539
5000000,11,260.207,56.6976,4.58939,41.7217
5000000,12,260.207,56.8041,4.58079,38.1732
5000000,13,260.207,56.9699,4.56745,35.1343
5000000,14,260.207,55.9173,4.65343,33.2388
5000000,15,260.207,51.7902,5.02426,33.4951
5000000,16,260.207,51.334,5.06891,31.6807
